9956,6 Series,4330413,739,United States,84744.27
1371,LeSabre,6946885,608,Philippines,39774.62
968,R-Class,8978112,493,Portugal,74017.34
2298,riolet,746054,915,Indonesia,35497.55
9144,W201,9313166,773,Greece,9609.51
4140,CC,7056578,927,China,22943.65
1659,F150,1742324,765,China,86748.22
8176,Q,8976602,167,Philippines,96415.59
5658,XLR,2100425,644,Sweden,72776.00
1162,Aztek,9878872,989,Slovenia,51847.13
3072,Cougar,1357091,356,China,17892.79
182,Quest,7603126,114,Peru,62943.34
9070,L-Series,9583089,423,Moldova,66500.64
5171,Scirocco,6755727,405,Yemen,91547.19
9400,240SX,8544028,962,Czech Republic,75582.88
2480,X-Type,151088,268,Poland,52341.17
9010,Express,1017464,138,Kazakhstan,73937.38
9153,Cavalier,615705,664,China,76596.02
7519,Avenger,6241830,673,Sierra Leone,15038.93
9445,4Runner,691102,363,China,58781.40
1535,RAV4,8482390,22,Ukraine,65156.32
552,900,5585418,657,China,34591.02
8410,V8 Vantage S,8501085,544,Indonesia,99085.93
1155,NSX,6788525,38,China,19788.73
1276,Mazda6,7062512,248,Afghanistan,53441.29
278,A8,704485,145,Venezuela,71128.89
7118,Malibu,7027267,705,Croatia,89371.39
3132,Sonoma,2752121,328,Mongolia,84584.83
4245,200,8358005,955,United States,50274.40
83,E350,6749405,74,Finland,26204.43
817,Sorento,3003668,854,Czech Republic,29981.89
4799,M-Class,343967,289,China,36740.79
7426,Astro,7948368,929,China,22747.02
2484,Park Avenue,9118239,500,China,90637.70
3206,Q7,3223389,26,China,6511.96
799,Flex,1895751,510,Russia,17859.15
8993,Pathfinder,3471323,254,Czech Republic,44182.74
5736,Suburban 1500,6960117,263,Russia,93522.08
5896,Celica,2311820,394,Russia,1448.29
3392,S10,769548,717,Indonesia,23284.19
6485,G35,6838294,835,Czech Republic,26428.72
6512,F150,9331529,368,Indonesia,99372.62
6468,Accent,2631542,219,Brazil,50854.55
6833,TL,8500767,894,Denmark,5359.50
3887,Sierra 1500,4686666,870,Poland,57002.26
7300,New Yorker,1797286,16,Moldova,17975.30
5188,C-Class,1341776,842,China,37760.88
2751,Mazdaspeed 3,7416462,262,Canada,85460.20
1567,Sprinter,4826879,609,Indonesia,87753.33
279,Stanza,8571321,281,France,939.40
3659,Gallardo,1559276,517,China,20373.16
8457,Golf,8047055,811,Brazil,84938.96
719,Riviera,4739914,229,France,79941.57
4959,Stratus,5529561,455,Indonesia,12923.34
7425,Montero,8343193,800,Brazil,70462.90
7739,Fiesta,5931669,143,China,15815.47
4492,Riviera,6033207,793,Malaysia,37825.79
2434,4000CS Quattro,4120948,648,Costa Rica,5833.54
4859,Econoline E250,1997742,184,Indonesia,78986.01
7978,900,267802,618,Peru,28840.60
4452,Aspire,5374767,937,Kosovo,60101.24
5288,Azera,9608445,318,Venezuela,28506.26
8991,Altima,2355082,999,Argentina,81941.65
3741,X-Type,3486672,771,Peru,19425.90
5943,Z4,114950,337,China,1653.87
9239,A6,1964540,287,Brazil,93103.12
1975,Prizm,102387,59,China,82947.93
9993,F150,6202696,669,Portugal,85469.06
7010,430 Scuderia,6615212,536,Belarus,76233.65
5011,Silverado 1500,8838689,558,Mexico,4655.66
9255,B-Series Plus,6171121,511,Portugal,634.13
2276,Fairlane,1232066,149,Indonesia,37209.77
3923,Century,3532791,576,Portugal,28159.98
8293,Reatta,8847350,888,Indonesia,83068.36
2642,W126,6191842,486,China,61006.31
7323,Corvette,9276819,560,Iran,39418.69
893,Versa,1217968,918,Indonesia,64248.10
9602,Century,6270154,710,Ivory Coast,80403.89
5501,Supra,7472960,351,Mexico,81838.69
9028,164,6171512,2,Thailand,71578.45
4951,MPV,6326360,159,Russia,46851.82
1437,M6,8572446,102,China,78627.51
3780,CR-X,6989101,952,China,56131.57
4167,Aztek,3224598,745,China,80002.99
